SINGLE-AGENT LLM PROMPTS AND OUTPUTS DETAILS
==================================================

🔍 GPT-4o Model Details:
--------------------------------------------------

📝 GPT-4o Input Prompt:
------------------------------

        Job Shop Scheduling Problem (JSSP) - Dataset: rcmax_30_15_5
        
        Problem Description:
        - Number of jobs: 30
        - Each job has multiple operations that must be performed in sequence
        - Each operation requires a specific machine and has a duration
        - Each machine can only process one operation at a time
        - Goal: Find the minimum makespan (total completion time)
        
        Job Specifications:
        
Job1:
  Step 1: Machine Machine13, Duration 199
  Step 2: Machine Machine3, Duration 9
  Step 3: Machine Machine6, Duration 48
  Step 4: Machine Machine8, Duration 118
  Step 5: Machine Machine7, Duration 108
  Step 6: Machine Machine1, Duration 64
  Step 7: Machine Machine14, Duration 49
  Step 8: Machine Machine4, Duration 48
  Step 9: Machine Machine12, Duration 175
  Step 10: Machine Machine10, Duration 122
  Step 11: Machine Machine5, Duration 43
  Step 12: Machine Machine2, Duration 194
  Step 13: Machine Machine11, Duration 171
  Step 14: Machine Machine9, Duration 143
  Step 15: Machine Machine0, Duration 43
Job2:
  Step 1: Machine Machine0, Duration 127
  Step 2: Machine Machine2, Duration 153
  Step 3: Machine Machine12, Duration 102
  Step 4: Machine Machine5, Duration 11
  Step 5: Machine Machine9, Duration 197
  Step 6: Machine Machine13, Duration 165
  Step 7: Machine Machine14, Duration 69
  Step 8: Machine Machine4, Duration 95
  Step 9: Machine Machine6, Duration 145
  Step 10: Machine Machine3, Duration 30
  Step 11: Machine Machine8, Duration 12
  Step 12: Machine Machine10, Duration 166
  Step 13: Machine Machine7, Duration 21
  Step 14: Machine Machine11, Duration 144
  Step 15: Machine Machine1, Duration 185
Job3:
  Step 1: Machine Machine8, Duration 129
  Step 2: Machine Machine1, Duration 110
  Step 3: Machine Machine9, Duration 165
  Step 4: Machine Machine0, Duration 120
  Step 5: Machine Machine5, Duration 96
  Step 6: Machine Machine14, Duration 173
  Step 7: Machine Machine3, Duration 102
  Step 8: Machine Machine12, Duration 155
  Step 9: Machine Machine10, Duration 141
  Step 10: Machine Machine13, Duration 163
  Step 11: Machine Machine4, Duration 142
  Step 12: Machine Machine11, Duration 11
  Step 13: Machine Machine6, Duration 101
  Step 14: Machine Machine2, Duration 22
  Step 15: Machine Machine7, Duration 149
Job4:
  Step 1: Machine Machine0, Duration 63
  Step 2: Machine Machine12, Duration 64
  Step 3: Machine Machine3, Duration 16
  Step 4: Machine Machine2, Duration 92
  Step 5: Machine Machine4, Duration 152
  Step 6: Machine Machine14, Duration 70
  Step 7: Machine Machine10, Duration 173
  Step 8: Machine Machine6, Duration 99
  Step 9: Machine Machine7, Duration 200
  Step 10: Machine Machine9, Duration 71
  Step 11: Machine Machine8, Duration 120
  Step 12: Machine Machine11, Duration 34
  Step 13: Machine Machine5, Duration 124
  Step 14: Machine Machine13, Duration 111
  Step 15: Machine Machine1, Duration 38
Job5:
  Step 1: Machine Machine12, Duration 40
  Step 2: Machine Machine14, Duration 54
  Step 3: Machine Machine7, Duration 29
  Step 4: Machine Machine13, Duration 199
  Step 5: Machine Machine1, Duration 143
  Step 6: Machine Machine0, Duration 125
  Step 7: Machine Machine2, Duration 51
  Step 8: Machine Machine6, Duration 15
  Step 9: Machine Machine5, Duration 117
  Step 10: Machine Machine11, Duration 77
  Step 11: Machine Machine3, Duration 126
  Step 12: Machine Machine8, Duration 111
  Step 13: Machine Machine9, Duration 62
  Step 14: Machine Machine10, Duration 22
  Step 15: Machine Machine4, Duration 77
Job6:
  Step 1: Machine Machine6, Duration 121
  Step 2: Machine Machine0, Duration 186
  Step 3: Machine Machine8, Duration 126
  Step 4: Machine Machine13, Duration 76
  Step 5: Machine Machine3, Duration 92
  Step 6: Machine Machine11, Duration 93
  Step 7: Machine Machine10, Duration 50
  Step 8: Machine Machine12, Duration 126
  Step 9: Machine Machine5, Duration 126
  Step 10: Machine Machine2, Duration 154
  Step 11: Machine Machine7, Duration 36
  Step 12: Machine Machine1, Duration 75
  Step 13: Machine Machine9, Duration 199
  Step 14: Machine Machine4, Duration 191
  Step 15: Machine Machine14, Duration 75
Job7:
  Step 1: Machine Machine2, Duration 123
  Step 2: Machine Machine14, Duration 197
  Step 3: Machine Machine8, Duration 23
  Step 4: Machine Machine1, Duration 182
  Step 5: Machine Machine3, Duration 45
  Step 6: Machine Machine5, Duration 38
  Step 7: Machine Machine7, Duration 135
  Step 8: Machine Machine11, Duration 10
  Step 9: Machine Machine6, Duration 39
  Step 10: Machine Machine4, Duration 48
  Step 11: Machine Machine13, Duration 94
  Step 12: Machine Machine9, Duration 167
  Step 13: Machine Machine12, Duration 16
  Step 14: Machine Machine0, Duration 15
  Step 15: Machine Machine10, Duration 195
Job8:
  Step 1: Machine Machine10, Duration 2
  Step 2: Machine Machine13, Duration 31
  Step 3: Machine Machine2, Duration 155
  Step 4: Machine Machine0, Duration 159
  Step 5: Machine Machine5, Duration 59
  Step 6: Machine Machine3, Duration 36
  Step 7: Machine Machine11, Duration 172
  Step 8: Machine Machine12, Duration 147
  Step 9: Machine Machine14, Duration 200
  Step 10: Machine Machine1, Duration 187
  Step 11: Machine Machine7, Duration 95
  Step 12: Machine Machine6, Duration 28
  Step 13: Machine Machine9, Duration 51
  Step 14: Machine Machine8, Duration 171
  Step 15: Machine Machine4, Duration 194
Job9:
  Step 1: Machine Machine8, Duration 56
  Step 2: Machine Machine2, Duration 147
  Step 3: Machine Machine1, Duration 188
  Step 4: Machine Machine6, Duration 173
  Step 5: Machine Machine0, Duration 49
  Step 6: Machine Machine13, Duration 113
  Step 7: Machine Machine10, Duration 104
  Step 8: Machine Machine7, Duration 149
  Step 9: Machine Machine3, Duration 107
  Step 10: Machine Machine5, Duration 43
  Step 11: Machine Machine9, Duration 108
  Step 12: Machine Machine14, Duration 68
  Step 13: Machine Machine11, Duration 39
  Step 14: Machine Machine4, Duration 170
  Step 15: Machine Machine12, Duration 183
Job10:
  Step 1: Machine Machine3, Duration 36
  Step 2: Machine Machine0, Duration 21
  Step 3: Machine Machine8, Duration 128
  Step 4: Machine Machine12, Duration 83
  Step 5: Machine Machine6, Duration 18
  Step 6: Machine Machine2, Duration 145
  Step 7: Machine Machine11, Duration 107
  Step 8: Machine Machine7, Duration 4
  Step 9: Machine Machine14, Duration 109
  Step 10: Machine Machine10, Duration 8
  Step 11: Machine Machine1, Duration 47
  Step 12: Machine Machine13, Duration 128
  Step 13: Machine Machine5, Duration 156
  Step 14: Machine Machine9, Duration 101
  Step 15: Machine Machine4, Duration 59
Job11:
