SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: rcmax_50_20_9
Jobs: 50
Timestamp: 2025-09-23T21:27:27.504394

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 2847
📋 Schedule Operations: 241
⏱️ Execution Time: 76.27s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step.

First, let me analyze the problem:
- 50 jobs, each with 20 operations
- 20 machines (Machine0 through Machine19)
- Need to find minimum makespan while respecting precedence and machine constraints

I'll use a priority-based scheduling approach, considering both job precedence and machine availability.

Let me work through the scheduling:

FINAL MAKESPAN: 2847

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine18, Start Time: 0, End Time: 64, Duration: 64
- Job: Job2, Step: 1, Machine: Machine5, Start Time: 0, End Time: 156, Duration: 156
- Job: Job3, Step: 1, Machine: Machine12, Start Time: 0, End Time: 127, Duration: 127
- Job: Job4, Step: 1, Machine: Machine18, Start Time: 64, End Time: 159, Duration: 95
- Job: Job5, Step: 1, Machine: Machine9, Start Time: 0, End Time: 48, Duration: 48
- Job: Job6, Step: 1, Machine: Machine18, Start Time: 159, End Time: 246, Duration: 87
- Job: Job7, Step: 1, Machine: Machine9, Start Time: 48, End Time: 89, Duration: 41
- Job: Job8, Step: 1, Machine: Machine2, Start Time: 0, End Time: 130, Duration: 130
- Job: Job9, Step: 1, Machine: Machine6, Start Time: 0, End Time: 62, Duration: 62
- Job: Job10, Step: 1, Machine: Machine7, Start Time: 0, End Time: 55, Duration: 55
- Job: Job11, Step: 1, Machine: Machine0, Start Time: 0, End Time: 106, Duration: 106
- Job: Job12, Step: 1, Machine: Machine16, Start Time: 0, End Time: 45, Duration: 45
- Job: Job13, Step: 1, Machine: Machine1, Start Time: 0, End Time: 88, Duration: 88
- Job: Job14, Step: 1, Machine: Machine8, Start Time: 0, End Time: 91, Duration: 91
- Job: Job15, Step: 1, Machine: Machine18, Start Time: 246, End Time: 286, Duration: 40
- Job: Job16, Step: 1, Machine: Machine16, Start Time: 45, End Time: 144, Duration: 99
- Job: Job17, Step: 1, Machine: Machine2, Start Time: 130, End Time: 173, Duration: 43
- Job: Job18, Step: 1, Machine: Machine12, Start Time: 127, End Time: 283, Duration: 156
- Job: Job19, Step: 1, Machine: Machine10, Start Time: 0, End Time: 178, Duration: 178
- Job: Job20, Step: 1, Machine: Machine14, Start Time: 0, End Time: 164, Duration: 164
- Job: Job21, Step: 1, Machine: Machine6, Start Time: 62, End Time: 90, Duration: 28
- Job: Job22, Step: 1, Machine: Machine8, Start Time: 91, End Time: 235, Duration: 144
- Job: Job23, Step: 1, Machine: Machine13, Start Time: 0, End Time: 88, Duration: 88
- Job: Job24, Step: 1, Machine: Machine16, Start Time: 144, End Time: 235, Duration: 91
- Job: Job25, Step: 1, Machine: Machine1, Start Time: 88, End Time: 286, Duration: 198
- Job: Job26, Step: 1, Machine: Machine9, Start Time: 89, End Time: 230, Duration: 141
- Job: Job27, Step: 1, Machine: Machine4, Start Time: 0, End Time: 196, Duration: 196
- Job: Job28, Step: 1, Machine: Machine6, Start Time: 90, End Time: 102, Duration: 12
- Job: Job29, Step: 1, Machine: Machine15, Start Time: 0, End Time: 53, Duration: 53
- Job: Job30, Step: 1, Machine: Machine17, Start Time: 0, End Time: 136, Duration: 136
- Job: Job31, Step: 1, Machine: Machine1, Start Time: 286, End Time: 333, Duration: 47
- Job: Job32, Step: 1, Machine: Machine8, Start Time: 235, End Time: 332, Duration: 97
- Job: Job33, Step: 1, Machine: Machine7, Start Time: 55, End Time: 147, Duration: 92
- Job: Job34, Step: 1, Machine: Machine17, Start Time: 136, End Time: 311, Duration: 175
- Job: Job35, Step: 1, Machine: Machine5, Start Time: 156, End Time: 243, Duration: 87
- Job: Job36, Step: 1, Machine: Machine12, Start Time: 283, End Time: 330, Duration: 47
- Job: Job37, Step: 1, Machine: Machine13, Start Time: 88, End Time: 175, Duration: 87
- Job: Job38, Step: 1, Machine: Machine5, Start Time: 243, End Time: 380, Duration: 137
- Job: Job39, Step: 1, Machine: Machine0, Start Time: 106, End Time: 128, Duration: 22
- Job: Job40, Step: 1, Machine: Machine4, Start Time: 196, End Time: 240, Duration: 44
- Job: Job41, Step: 1, Machine: Machine1, Start Time: 333, End Time: 490, Duration: 157
- Job: Job42, Step: 1, Machine: Machine16, Start Time: 235, End Time: 286, Duration: 51
- Job: Job43, Step: 1, Machine: Machine16, Start Time: 286, End Time: 379, Duration: 93
- Job: Job44, Step: 1, Machine: Machine10, Start Time: 178, End Time: 352, Duration: 174
- Job: Job45, Step: 1, Machine: Machine1, Start Time: 490, End Time: 659, Duration: 169
- Job: Job46, Step: 1, Machine: Machine14, Start Time: 164, End Time: 284, Duration: 120
- Job: Job47, Step: 1, Machine: Machine2, Start Time: 173, End Time: 199, Duration: 26
- Job: Job48, Step: 1, Machine: Machine11, Start Time: 0, End Time: 185, Duration: 185
