SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: swv01
Jobs: 20
Timestamp: 2025-09-23T21:41:30.848228

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 1397
📋 Schedule Operations: 200
⏱️ Execution Time: 63.56s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step.

First, let me analyze the problem:
- 20 jobs, each with 10 operations
- 10 machines (Machine0 through Machine9)
- Need to find minimum makespan while respecting precedence and machine constraints

I'll use a priority-based heuristic approach, scheduling operations based on their earliest possible start times while respecting all constraints.

Let me work through the scheduling:

FINAL MAKESPAN: 1397

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine3, Start Time: 0, End Time: 19, Duration: 19
- Job: Job2, Step: 1, Machine: Machine2, Start Time: 0, End Time: 69, Duration: 69
- Job: Job3, Step: 1, Machine: Machine4, Start Time: 0, End Time: 79, Duration: 79
- Job: Job4, Step: 1, Machine: Machine2, Start Time: 69, End Time: 145, Duration: 76
- Job: Job5, Step: 1, Machine: Machine4, Start Time: 79, End Time: 152, Duration: 73
- Job: Job6, Step: 1, Machine: Machine1, Start Time: 0, End Time: 63, Duration: 63
- Job: Job7, Step: 1, Machine: Machine0, Start Time: 0, End Time: 87, Duration: 87
- Job: Job8, Step: 1, Machine: Machine4, Start Time: 152, End Time: 222, Duration: 70
- Job: Job9, Step: 1, Machine: Machine3, Start Time: 19, End Time: 35, Duration: 16
- Job: Job10, Step: 1, Machine: Machine3, Start Time: 35, End Time: 43, Duration: 8
- Job: Job11, Step: 1, Machine: Machine4, Start Time: 222, End Time: 284, Duration: 62
- Job: Job12, Step: 1, Machine: Machine2, Start Time: 145, End Time: 211, Duration: 66
- Job: Job13, Step: 1, Machine: Machine1, Start Time: 63, End Time: 68, Duration: 5
- Job: Job14, Step: 1, Machine: Machine0, Start Time: 87, End Time: 169, Duration: 82
- Job: Job15, Step: 1, Machine: Machine4, Start Time: 284, End Time: 339, Duration: 55
- Job: Job16, Step: 1, Machine: Machine1, Start Time: 68, End Time: 143, Duration: 75
- Job: Job17, Step: 1, Machine: Machine0, Start Time: 169, End Time: 260, Duration: 91
- Job: Job18, Step: 1, Machine: Machine2, Start Time: 211, End Time: 296, Duration: 85
- Job: Job19, Step: 1, Machine: Machine1, Start Time: 143, End Time: 170, Duration: 27
- Job: Job20, Step: 1, Machine: Machine1, Start Time: 170, End Time: 204, Duration: 34
- Job: Job1, Step: 2, Machine: Machine2, Start Time: 296, End Time: 323, Duration: 27
- Job: Job2, Step: 2, Machine: Machine0, Start Time: 260, End Time: 290, Duration: 30
- Job: Job3, Step: 2, Machine: Machine3, Start Time: 43, End Time: 123, Duration: 80
- Job: Job4, Step: 2, Machine: Machine3, Start Time: 123, End Time: 138, Duration: 15
- Job: Job5, Step: 2, Machine: Machine3, Start Time: 138, End Time: 225, Duration: 87
- Job: Job6, Step: 2, Machine: Machine0, Start Time: 290, End Time: 339, Duration: 49
- Job: Job7, Step: 2, Machine: Machine1, Start Time: 204, End Time: 275, Duration: 71
- Job: Job8, Step: 2, Machine: Machine2, Start Time: 323, End Time: 345, Duration: 22
- Job: Job9, Step: 2, Machine: Machine0, Start Time: 339, End Time: 423, Duration: 84
- Job: Job10, Step: 2, Machine: Machine0, Start Time: 423, End Time: 433, Duration: 10
- Job: Job11, Step: 2, Machine: Machine1, Start Time: 275, End Time: 335, Duration: 60
- Job: Job12, Step: 2, Machine: Machine1, Start Time: 335, End Time: 406, Duration: 71
- Job: Job13, Step: 2, Machine: Machine3, Start Time: 225, End Time: 317, Duration: 92
- Job: Job14, Step: 2, Machine: Machine3, Start Time: 317, End Time: 401, Duration: 84
- Job: Job15, Step: 2, Machine: Machine0, Start Time: 433, End Time: 490, Duration: 57
- Job: Job16, Step: 2, Machine: Machine2, Start Time: 345, End Time: 392, Duration: 47
- Job: Job17, Step: 2, Machine: Machine4, Start Time: 339, End Time: 364, Duration: 25
- Job: Job18, Step: 2, Machine: Machine1, Start Time: 406, End Time: 437, Duration: 31
