SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: swv07
Jobs: 20
Timestamp: 2025-09-23T21:49:06.594685

🔍 Claude-Sonnet-4 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 1582
📋 Schedule Operations: 244
⏱️ Execution Time: 119.11s

🤖 Full LLM Response:
------------------------------
I'll solve this Job Shop Scheduling Problem step by step.

First, let me analyze the problem:
- 20 jobs, each with 15 operations
- 15 machines (Machine0 through Machine14)
- Need to minimize makespan while respecting precedence and machine constraints

I'll use a priority-based heuristic approach, scheduling operations based on their earliest possible start times while respecting all constraints.

Let me work through the scheduling:

FINAL MAKESPAN: 1582

STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine3, Start Time: 0, End Time: 92, Duration: 92
- Job: Job2, Step: 1, Machine: Machine5, Start Time: 0, End Time: 4, Duration: 4
- Job: Job3, Step: 1, Machine: Machine1, Start Time: 0, End Time: 34, Duration: 34
- Job: Job4, Step: 1, Machine: Machine3, Start Time: 92, End Time: 141, Duration: 49
- Job: Job5, Step: 1, Machine: Machine2, Start Time: 0, End Time: 35, Duration: 35
- Job: Job6, Step: 1, Machine: Machine3, Start Time: 141, End Time: 210, Duration: 69
- Job: Job7, Step: 1, Machine: Machine0, Start Time: 0, End Time: 83, Duration: 83
- Job: Job8, Step: 1, Machine: Machine6, Start Time: 0, End Time: 98, Duration: 98
- Job: Job9, Step: 1, Machine: Machine4, Start Time: 0, End Time: 55, Duration: 55
- Job: Job10, Step: 1, Machine: Machine2, Start Time: 35, End Time: 53, Duration: 18
- Job: Job11, Step: 1, Machine: Machine3, Start Time: 210, End Time: 252, Duration: 42
- Job: Job12, Step: 1, Machine: Machine6, Start Time: 98, End Time: 110, Duration: 12
- Job: Job13, Step: 1, Machine: Machine4, Start Time: 55, End Time: 106, Duration: 51
- Job: Job14, Step: 1, Machine: Machine6, Start Time: 110, End Time: 202, Duration: 92
- Job: Job15, Step: 1, Machine: Machine4, Start Time: 106, End Time: 140, Duration: 34
- Job: Job16, Step: 1, Machine: Machine6, Start Time: 202, End Time: 233, Duration: 31
- Job: Job17, Step: 1, Machine: Machine1, Start Time: 34, End Time: 54, Duration: 20
- Job: Job18, Step: 1, Machine: Machine5, Start Time: 4, End Time: 18, Duration: 14
- Job: Job19, Step: 1, Machine: Machine6, Start Time: 233, End Time: 303, Duration: 70
- Job: Job20, Step: 1, Machine: Machine5, Start Time: 18, End Time: 118, Duration: 100
- Job: Job1, Step: 2, Machine: Machine1, Start Time: 92, End Time: 141, Duration: 49
- Job: Job2, Step: 2, Machine: Machine3, Start Time: 252, End Time: 348, Duration: 96
- Job: Job3, Step: 2, Machine: Machine6, Start Time: 303, End Time: 337, Duration: 34
- Job: Job4, Step: 2, Machine: Machine5, Start Time: 141, End Time: 153, Duration: 12
- Job: Job5, Step: 2, Machine: Machine1, Start Time: 141, End Time: 142, Duration: 1
- Job: Job6, Step: 2, Machine: Machine6, Start Time: 337, End Time: 361, Duration: 24
- Job: Job7, Step: 2, Machine: Machine4, Start Time: 140, End Time: 155, Duration: 15
- Job: Job8, Step: 2, Machine: Machine4, Start Time: 155, End Time: 179, Duration: 24
- Job: Job9, Step: 2, Machine: Machine0, Start Time: 83, End Time: 127, Duration: 44
- Job: Job10, Step: 2, Machine: Machine5, Start Time: 153, End Time: 195, Duration: 42
- Job: Job11, Step: 2, Machine: Machine1, Start Time: 252, End Time: 268, Duration: 16
- Job: Job12, Step: 2, Machine: Machine4, Start Time: 179, End Time: 224, Duration: 45
- Job: Job13, Step: 2, Machine: Machine5, Start Time: 195, End Time: 234, Duration: 39
- Job: Job14, Step: 2, Machine: Machine0, Start Time: 202, End Time: 269, Duration: 67
- Job: Job15, Step: 2, Machine: Machine0, Start Time: 269, End Time: 329, Duration: 60
- Job: Job16, Step: 2, Machine: Machine1, Start Time: 268, End Time: 312, Duration: 44
- Job: Job17, Step: 2, Machine: Machine4, Start Time: 224, End Time: 264, Duration: 40
- Job: Job18, Step: 2, Machine: Machine0, Start Time: 329, End Time: 334, Duration: 5
- Job: Job19, Step: 2, Machine: Machine0, Start Time: 334, End Time: 362, Duration: 28
- Job: Job20, Step: 2, Machine: Machine2, Start Time: 118, End Time: 164, Duration: 46
- Job: Job1, Step: 3, Machine: Machine2, Start Time: 164, End Time: 257, Duration: 93
- Job: Job2, Step: 3, Machine: Machine6, Start Time: 361, End Time: 413, Duration: 52
- Job: Job3, Step: 3, Machine: Machine4, Start Time: 264, End Time: 301, Duration: 37
- Job: Job4, Step: 3, Machine: Machine6, Start Time: 413, End Time: 465, Duration: 52
- Job: Job5, Step: 3, Machine: Machine3, Start Time: 348, End Time: 363, Duration: 15
- Job: Job6, Step: 3, Machine: Machine5, Start Time: 234, End Time: 255, Duration: 21
- Job: Job7, Step: 3, Machine: Machine2, Start Time: 257, End Time: 319, Duration: 62
- Job: Job8, Step: 3, Machine: Machine2, Start Time: 319, End Time: 394, Duration: 75
- Job: Job9, Step: 3, Machine: Machine3, Start Time: 363, End Time: 410, Duration: 47
- Job: Job10, Step: 3, Machine: Machine0, Start Time: 362, End Time: 399, Duration: 37
- Job: Job11, Step: 3, Machine: Machine4, Start Time: 301, End Time: 320, Duration: 19
- Job: Job12, Step: 3, Machine: Machine2, Start Time: 394, End Time: 401, Duration: 7
- Job: Job13, Step: 3, Machine: Machine0, Start Time: 399, End Time: 449, Duration: 50
- Job: Job14, Step: 3, Machine: Machine5, Start Time: 255, End Time: 340, Duration: 85
- Job: Job15, Step: 3, Machine: Machine1, Start Time: 312, End Time: 364, Duration: 52
- Job: Job16, Step: 3, Machine: Machine0, Start Time: 449, End Time: 533, Duration: 84
- Job: Job17, Step: 3, Machine: Machine3, Start Time: 410, End Time: 447, Duration: 37
- Job: Job18, Step: 3, Machine: Machine3, Start Time: 447, End Time: 487, Duration: 40
- Job: Job19, Step: 3, Machine: Machine3, Start Time: 487, End Time: 566, Duration: 79
- Job: Job20, Step: 3, Machine: Machine4, Start Time: 320, End Time: 389, Duration: 69
- Job: Job1, Step: 4, Machine: Machine6, Start Time: 465, End Time: 513, Duration: 48
- Job: Job2, Step: 4, Machine: Machine1, Start Time: 364, End Time: 451, Duration: 87
- Job: Job3, Step: 4, Machine: Machine2, Start Time: 401, End Time: 483, Duration: 82
- Job: Job4, Step: 4, Machine: Machine2, Start Time: 483, End Time: 559, Duration: 76
- Job: Job5, Step: 4, Machine: Machine6, Start Time: 513, End Time: 562, Duration: 49
- Job: Job6, Step: 4, Machine: Machine4, Start Time: 389, End Time: 392, Duration: 3
- Job: Job7, Step: 4, Machine: Machine6, Start Time: 562, End Time: 589, Duration: 27
- Job: Job8, Step: 4, Machine: Machine0, Start Time: 533, End Time: 590, Duration: 57
- Job: Job9, Step: 4, Machine: Machine5, Start Time: 340, End Time: 415, Duration: 75
- Job: Job10, Step: 4, Machine: Machine4, Start Time: 392, End Time: 393, Duration: 1
- Job: Job11, Step: 4, Machine: Machine6, Start Time: 589, End Time: 659, Duration: 70
- Job: Job12, Step: 4, Machine: Machine0, Start Time: 590, End Time: 605, Duration: 15
- Job: Job13, Step: 4, Machine: Machine2, Start Time: 559, End Time: 568, Duration: 9
- Job: Job14, Step: 4, Machine: Machine1, Start Time: 451, End Time: 539, Duration: 88
- Job: Job15, Step: 4, Machine: Machine5, Start Time: 415, End Time: 485, Duration: 70
- Job: Job16, Step: 4, Machine: Machine3, Start Time: 566, End Time: 582, Duration: 16
- Job: Job17, Step: 4, Machine: Machine2, Start Time: 568, End Time: 636, Duration: 68
- Job: Job18, Step: 4, Machine: Machine1, Start Time: 539, End Time: 609, Duration: 70
