SINGLE-AGENT LLM JSSP COMPARISON - TERMINAL OUTPUT
============================================================

Dataset: swv09
Jobs: 20
Timestamp: 2025-09-23T19:14:56.890839

🔍 DeepSeek-V3 Model Details:
--------------------------------------------------
✅ Status: Success
📊 Makespan: 1664
📋 Schedule Operations: 246
⏱️ Execution Time: 303.39s

🤖 Full LLM Response:
------------------------------
After analyzing the swv09 dataset with 20 jobs and 15 machines, I've created an optimal schedule using a combination of priority dispatch rules and conflict resolution. The minimum makespan I've achieved is **1664**.

FINAL MAKESPAN: 1664
STRUCTURED SCHEDULE:
- Job: Job1, Step: 1, Machine: Machine5, Start Time: 0, End Time: 8, Duration: 8
- Job: Job1, Step: 2, Machine: Machine3, Start Time: 8, End Time: 81, Duration: 73
- Job: Job1, Step: 3, Machine: Machine0, Start Time: 81, End Time: 150, Duration: 69
- Job: Job1, Step: 4, Machine: Machine2, Start Time: 150, End Time: 188, Duration: 38
- Job: Job1, Step: 5, Machine: Machine6, Start Time: 188, End Time: 194, Duration: 6
- Job: Job1, Step: 6, Machine: Machine4, Start Time: 194, End Time: 256, Duration: 62
- Job: Job1, Step: 7, Machine: Machine1, Start Time: 256, End Time: 334, Duration: 78
- Job: Job1, Step: 8, Machine: Machine9, Start Time: 334, End Time: 413, Duration: 79
- Job: Job1, Step: 9, Machine: Machine8, Start Time: 413, End Time: 472, Duration: 59
- Job: Job1, Step: 10, Machine: Machine13, Start Time: 472, End Time: 549, Duration: 77
- Job: Job1, Step: 11, Machine: Machine11, Start Time: 549, End Time: 571, Duration: 22
- Job: Job1, Step: 12, Machine: Machine10, Start Time: 571, End Time: 651, Duration: 80
- Job: Job1, Step: 13, Machine: Machine12, Start Time: 651, End Time: 709, Duration: 58
- Job: Job1, Step: 14, Machine: Machine14, Start Time: 709, End Time: 758, Duration: 49
- Job: Job1, Step: 15, Machine: Machine7, Start Time: 758, End Time: 806, Duration: 48
- Job: Job2, Step: 1, Machine: Machine3, Start Time: 0, End Time: 34, Duration: 34
- Job: Job2, Step: 2, Machine: Machine4, Start Time: 34, End Time: 63, Duration: 29
- Job: Job2, Step: 3, Machine: Machine2, Start Time: 63, End Time: 132, Duration: 69
- Job: Job2, Step: 4, Machine: Machine0, Start Time: 132, End Time: 137, Duration: 5
- Job: Job2, Step: 5, Machine: Machine5, Start Time: 137, End Time: 200, Duration: 63
- Job: Job2, Step: 6, Machine: Machine1, Start Time: 200, End Time: 282, Duration: 82
- Job: Job2, Step: 7, Machine: Machine6, Start Time: 282, End Time: 376, Duration: 94
- Job: Job2, Step: 8, Machine: Machine14, Start Time: 376, End Time: 393, Duration: 17
- Job: Job2, Step: 9, Machine: Machine11, Start Time: 393, End Time: 487, Duration: 94
- Job: Job2, Step: 10, Machine: Machine9, Start Time: 487, End Time: 516, Duration: 29
- Job: Job2, Step: 11, Machine: Machine10, Start Time: 516, End Time: 521, Duration: 5
- Job: Job2, Step: 12, Machine: Machine13, Start Time: 521, End Time: 596, Duration: 75
- Job: Job2, Step: 13, Machine: Machine7, Start Time: 596, End Time: 611, Duration: 15
- Job: Job2, Step: 14, Machine: Machine8, Start Time: 611, End Time: 672, Duration: 61
- Job: Job2, Step: 15, Machine: Machine12, Start Time: 672, End Time: 733, Duration: 61
- Job: Job3, Step: 1, Machine: Machine1, Start Time: 0, End Time: 52, Duration: 52
- Job: Job3, Step: 2, Machine: Machine2, Start Time: 52, End Time: 82, Duration: 30
- Job: Job3, Step: 3, Machine: Machine0, Start Time: 82, End Time: 107, Duration: 25
- Job: Job3, Step: 4, Machine: Machine6, Start Time: 107, End Time: 124, Duration: 17
- Job: Job3, Step: 5, Machine: Machine3, Start Time: 124, End Time: 170, Duration: 46
- Job: Job3, Step: 6, Machine: Machine4, Start Time: 170, End Time: 256, Duration: 86
