SINGLE-AGENT LLM PROMPTS AND OUTPUTS DETAILS
==================================================

🔍 DeepSeek-V3 Model Details:
--------------------------------------------------

📝 DeepSeek-V3 Input Prompt:
------------------------------

        Job Shop Scheduling Problem (JSSP) - Dataset: swv12
        
        Problem Description:
        - Number of jobs: 50
        - Each job has multiple operations that must be performed in sequence
        - Each operation requires a specific machine and has a duration
        - Each machine can only process one operation at a time
        - Goal: Find the minimum makespan (total completion time)
        
        Job Specifications:
        
Job1:
  Step 1: Machine Machine0, Duration 92
  Step 2: Machine Machine4, Duration 49
  Step 3: Machine Machine1, Duration 93
  Step 4: Machine Machine3, Duration 48
  Step 5: Machine Machine2, Duration 1
  Step 6: Machine Machine7, Duration 52
  Step 7: Machine Machine6, Duration 57
  Step 8: Machine Machine9, Duration 16
  Step 9: Machine Machine5, Duration 6
  Step 10: Machine Machine8, Duration 6
Job2:
  Step 1: Machine Machine4, Duration 82
  Step 2: Machine Machine3, Duration 25
  Step 3: Machine Machine2, Duration 69
  Step 4: Machine Machine1, Duration 86
  Step 5: Machine Machine0, Duration 54
  Step 6: Machine Machine6, Duration 15
  Step 7: Machine Machine5, Duration 31
  Step 8: Machine Machine9, Duration 5
  Step 9: Machine Machine7, Duration 6
  Step 10: Machine Machine8, Duration 18
Job3:
  Step 1: Machine Machine0, Duration 31
  Step 2: Machine Machine1, Duration 26
  Step 3: Machine Machine3, Duration 46
  Step 4: Machine Machine2, Duration 49
  Step 5: Machine Machine4, Duration 48
  Step 6: Machine Machine8, Duration 74
  Step 7: Machine Machine7, Duration 82
  Step 8: Machine Machine5, Duration 47
  Step 9: Machine Machine9, Duration 93
  Step 10: Machine Machine6, Duration 91
Job4:
  Step 1: Machine Machine0, Duration 34
  Step 2: Machine Machine4, Duration 37
  Step 3: Machine Machine1, Duration 82
  Step 4: Machine Machine3, Duration 25
  Step 5: Machine Machine2, Duration 43
  Step 6: Machine Machine6, Duration 11
  Step 7: Machine Machine9, Duration 71
  Step 8: Machine Machine5, Duration 55
  Step 9: Machine Machine7, Duration 34
  Step 10: Machine Machine8, Duration 77
Job5:
  Step 1: Machine Machine4, Duration 22
  Step 2: Machine Machine0, Duration 91
  Step 3: Machine Machine3, Duration 54
  Step 4: Machine Machine2, Duration 49
  Step 5: Machine Machine1, Duration 97
  Step 6: Machine Machine9, Duration 2
  Step 7: Machine Machine7, Duration 46
  Step 8: Machine Machine5, Duration 98
  Step 9: Machine Machine6, Duration 27
  Step 10: Machine Machine8, Duration 89
Job6:
  Step 1: Machine Machine2, Duration 46
  Step 2: Machine Machine3, Duration 70
  Step 3: Machine Machine1, Duration 3
  Step 4: Machine Machine0, Duration 44
  Step 5: Machine Machine4, Duration 24
  Step 6: Machine Machine9, Duration 65
