
==================================================
Processing dataset: swv08 with Claude-4
==================================================


==================================================
Processing dataset: swv08 with Claude-4
==================================================

=== Results for swv08 with Claude-4 ===
Timestamp: 2025-09-23 21:49:52

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job7 | 1 | Machine13 | 0-194 | None |
| Job10 | 1 | Machine14 | 0-168 | None |
| Job18 | 1 | Machine4 | 0-42 | None |
| Job8 | 1 | Machine6 | 0-103 | None |
| Job16 | 1 | Machine7 | 0-45 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job11 | 1 | Machine4 | 42-132 | None |
| Job16 | 2 | Machine5 | 45-215 | After Job16 Step 1 |
| Job9 | 1 | Machine7 | 45-169 | None |
| Job6 | 1 | Machine6 | 103-216 | None |
| Job11 | 2 | Machine3 | 132-331 | After Job11 Step 1 |
| Job12 | 1 | Machine4 | 132-177 | None |
| Job2 | 1 | Machine14 | 168-263 | None |
| Job9 | 2 | Machine11 | 169-354 | After Job9 Step 1 |
| Job15 | 1 | Machine7 | 169-356 | None |
| Job8 | 2 | Machine4 | 177-270 | After Job8 Step 1 |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job4 | 1 | Machine13 | 194-313 | None |
| Job2 | 2 | Machine0 | 263-354 | After Job2 Step 1 |
| Job14 | 1 | Machine14 | 263-272 | None |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job14 | 2 | Machine2 | 272-435 | After Job14 Step 1 |
| Job8 | 3 | Machine12 | 304-325 | After Job8 Step 2 |
| Job3 | 1 | Machine13 | 313-404 | None |
| Job4 | 2 | Machine5 | 313-501 | After Job4 Step 1 |
| Job12 | 2 | Machine0 | 354-399 | After Job12 Step 1 |
| Job7 | 2 | Machine11 | 354-487 | After Job7 Step 1 |
| Job2 | 3 | Machine8 | 354-507 | After Job2 Step 2 |
| Job15 | 2 | Machine4 | 356-411 | After Job15 Step 1 |
| Job13 | 1 | Machine7 | 356-463 | None |
| Job18 | 3 | Machine13 | 404-490 | After Job18 Step 2 |
| Job3 | 2 | Machine3 | 404-466 | After Job3 Step 1 |
| Job1 | 3 | Machine2 | 435-563 | After Job1 Step 2 |
| Job13 | 2 | Machine6 | 463-600 | After Job13 Step 1 |
