
==================================================
Processing dataset: swv12 with Claude-4
==================================================

=== Results for swv12 with Claude-4 ===
Timestamp: 2025-09-23 21:49:58

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job7 | 1 | Machine13 | 0-194 | None |
| Job2 | 1 | Machine14 | 0-95 | None |
| Job11 | 1 | Machine4 | 0-90 | None |
| Job6 | 1 | Machine6 | 0-113 | None |
| Job16 | 1 | Machine7 | 0-45 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job16 | 2 | Machine5 | 45-215 | After Job16 Step 1 |
| Job19 | 1 | Machine7 | 45-205 | None |
| Job11 | 2 | Machine3 | 90-289 | After Job11 Step 1 |
| Job12 | 1 | Machine4 | 90-135 | None |
| Job10 | 1 | Machine14 | 95-263 | None |
| Job8 | 1 | Machine6 | 113-216 | None |
| Job12 | 2 | Machine0 | 135-180 | After Job12 Step 1 |
| Job18 | 1 | Machine4 | 135-177 | None |
| Job2 | 2 | Machine0 | 180-271 | After Job2 Step 1 |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job3 | 1 | Machine13 | 194-285 | None |
| Job5 | 2 | Machine11 | 199-212 | After Job5 Step 1 |
| Job19 | 2 | Machine1 | 205-324 | After Job19 Step 1 |
| Job13 | 1 | Machine7 | 205-312 | None |
| Job5 | 3 | Machine10 | 212-275 | After Job5 Step 2 |
| Job7 | 2 | Machine11 | 212-345 | After Job7 Step 1 |
| Job8 | 2 | Machine4 | 216-309 | After Job8 Step 1 |
| Job14 | 1 | Machine14 | 263-272 | None |
| Job2 | 3 | Machine8 | 271-424 | After Job2 Step 2 |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job14 | 2 | Machine2 | 272-435 | After Job14 Step 1 |
| Job4 | 1 | Machine13 | 285-404 | None |
| Job6 | 2 | Machine3 | 289-398 | After Job6 Step 1 |
| Job11 | 3 | Machine12 | 304-489 | After Job11 Step 2 |
| Job13 | 2 | Machine6 | 312-449 | After Job13 Step 1 |
| Job9 | 1 | Machine7 | 312-436 | None |
| Job19 | 3 | Machine14 | 334-427 | After Job19 Step 2 |
| Job3 | 2 | Machine3 | 398-460 | After Job3 Step 1 |
| Job18 | 3 | Machine13 | 404-490 | After Job18 Step 2 |
