
==================================================
Processing dataset: yn04 with Claude-4
==================================================

=== Results for yn04 with Claude-4 ===
Timestamp: 2025-09-23 21:50:11

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
|------|------|----------|-----------|----------------------------|
| Job5 | 1 | Machine1 | 0-199 | None |
| Job1 | 1 | Machine11 | 0-84 | None |
| Job20 | 1 | Machine12 | 0-185 | None |
| Job3 | 1 | Machine13 | 0-91 | None |
| Job10 | 1 | Machine14 | 0-168 | None |
| Job12 | 1 | Machine4 | 0-45 | None |
| Job8 | 1 | Machine6 | 0-103 | None |
| Job13 | 1 | Machine7 | 0-107 | None |
| Job17 | 1 | Machine8 | 0-104 | None |
| Job12 | 2 | Machine0 | 45-90 | After Job12 Step 1 |
| Job18 | 1 | Machine4 | 45-87 | None |
| Job11 | 1 | Machine4 | 87-177 | None |
| Job7 | 1 | Machine13 | 91-285 | None |
| Job3 | 2 | Machine3 | 91-153 | After Job3 Step 1 |
| Job6 | 1 | Machine6 | 103-216 | None |
| Job16 | 1 | Machine7 | 107-152 | None |
| Job16 | 2 | Machine5 | 152-322 | After Job16 Step 1 |
| Job19 | 1 | Machine7 | 152-312 | None |
| Job2 | 1 | Machine14 | 168-263 | None |
| Job11 | 2 | Machine3 | 177-376 | After Job11 Step 1 |
| Job1 | 2 | Machine12 | 185-304 | After Job1 Step 1 |
| Job20 | 2 | Machine8 | 185-204 | After Job20 Step 1 |
| Job5 | 2 | Machine11 | 199-212 | After Job5 Step 1 |
| Job5 | 3 | Machine10 | 212-275 | After Job5 Step 2 |
| Job13 | 2 | Machine6 | 216-353 | After Job13 Step 1 |
| Job2 | 2 | Machine0 | 263-354 | After Job2 Step 1 |
| Job14 | 1 | Machine14 | 263-272 | None |
| Job18 | 2 | Machine14 | 272-334 | After Job18 Step 1 |
| Job14 | 2 | Machine2 | 272-435 | After Job14 Step 1 |
| Job4 | 1 | Machine13 | 285-404 | None |
| Job19 | 2 | Machine1 | 312-431 | After Job19 Step 1 |
| Job15 | 1 | Machine7 | 312-499 | None |
| Job2 | 3 | Machine8 | 354-507 | After Job2 Step 2 |
| Job11 | 3 | Machine12 | 376-561 | After Job11 Step 2 |
| Job6 | 2 | Machine3 | 376-485 | After Job6 Step 1 |
| Job18 | 3 | Machine13 | 404-490 | After Job18 Step 2 |
| Job4 | 2 | Machine5 | 404-592 | After Job4 Step 1 |
| Job19 | 3 | Machine14 | 431-524 | After Job19 Step 2 |
| Job14 | 3 | Machine10 | 435-539 | After Job14 Step 2 |
